255, 0, 0, 0
255, 0, 0, 4
255, 0, 0, 8
255, 0, 0, 12
255, 0, 0, 16
255, 0, 0, 20
255, 0, 0, 24
255, 0, 0, 28
255, 0, 0, 32
255, 0, 0, 36
255, 0, 0, 40
255, 0, 0, 44
255, 0, 0, 48
255, 0, 0, 52
255, 0, 0, 56
255, 0, 0, 60
255, 0, 0, 64
255, 0, 0, 68
255, 0, 0, 72
255, 0, 0, 76
255, 0, 0, 80
255, 0, 0, 85
255, 0, 0, 89
255, 0, 0, 93
255, 0, 0, 97
255, 0, 0, 101
255, 0, 0, 105
255, 0, 0, 109
255, 0, 0, 113
255, 0, 0, 117
255, 0, 0, 121
255, 0, 0, 125
255, 0, 0, 129
255, 0, 0, 133
255, 0, 0, 137
255, 0, 0, 141
255, 0, 0, 145
255, 0, 0, 149
255, 0, 0, 153
255, 0, 0, 157
255, 0, 0, 161
255, 0, 0, 165
255, 0, 0, 170
255, 0, 0, 174
255, 0, 0, 178
255, 0, 0, 182
255, 0, 0, 186
255, 0, 0, 190
255, 0, 0, 194
255, 0, 0, 198
255, 0, 0, 202
255, 0, 0, 206
255, 0, 0, 210
255, 0, 0, 214
255, 0, 0, 218
255, 0, 0, 222
255, 0, 0, 226
255, 0, 0, 230
255, 0, 0, 234
255, 0, 0, 238
255, 0, 0, 242
255, 0, 0, 246
255, 0, 0, 250
255, 0, 0, 255
255, 0, 0, 255
255, 0, 4, 250
255, 0, 8, 246
255, 0, 12, 242
255, 0, 16, 238
255, 0, 20, 234
255, 0, 24, 230
255, 0, 28, 226
255, 0, 32, 222
255, 0, 36, 218
255, 0, 40, 214
255, 0, 44, 210
255, 0, 48, 206
255, 0, 52, 202
255, 0, 56, 198
255, 0, 60, 194
255, 0, 64, 190
255, 0, 68, 186
255, 0, 72, 182
255, 0, 76, 178
255, 0, 80, 174
255, 0, 85, 170
255, 0, 89, 165
255, 0, 93, 161
255, 0, 97, 157
255, 0, 101, 153
255, 0, 105, 149
255, 0, 109, 145
255, 0, 113, 141
255, 0, 117, 137
